title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_seasons_aggregated,tconst,imdb_title_type,rotten_tomatoes_numeric,log_hours_viewed_2023,log_imdb_ratecount_2021
The Vampire Diaries,2009,16+,7.7,86/100,0,0,0,1,TRUE,290534,433300000,25900000,FALSE,FALSE,,16,tt1405406,tvSeries,86,19.886940889018,12.5794793299445
The Lost Pirate Kingdom,2021,18+,6.6,53/100,0,0,0,1,TRUE,1981,8200000,800000,TRUE,TRUE,2021-03-15,2,tt14057360,tvSeries,53,15.9196448341857,7.59186171488993
Under Suspicion: Uncovering the Wesphael Case,2021,Unknown,6.3,48/100,0,0,0,1,TRUE,446,800000,100000,TRUE,TRUE,2021-03-17,2,tt14078186,tvSeries,48,13.5923682566493,6.10255859461357
Nevenka: Breaking the Silence,2021,Unknown,7,49/100,0,0,0,1,TRUE,506,300000,100000,TRUE,TRUE,2021-03-05,2,tt14091172,tvMiniSeries,49,12.6115410869661,6.22851100359118
This Is Pop,2021,Unknown,6.9,58/100,0,0,0,1,TRUE,10,3200000,300000,TRUE,TRUE,2021-06-22,2,tt14155414,tvSeries,58,14.9786616802699,2.39789527279837
Haunted: Latin America,2021,16+,5.4,47/100,0,0,0,1,TRUE,447,2600000,400000,TRUE,TRUE,2021-03-31,2,tt14164238,tvSeries,47,14.771022387607,6.10479323241499
Let's Fight Ghost,2021,Unknown,7.7,40/100,0,0,0,1,TRUE,57,2500000,100000,TRUE,TRUE,,2,tt14168868,tvSeries,40,14.7318016898383,4.06044301054642
Worn Stories,2021,Unknown,6.6,45/100,0,0,0,1,TRUE,233,200000,,TRUE,TRUE,2021-04-01,1,tt14177168,tvMiniSeries,45,12.2060776455177,5.4553211153577
Pui Pui Molcar,2021,Unknown,8.1,47/100,0,0,0,1,TRUE,146,6700000,4500000,FALSE,FALSE,,2,tt14202738,tvSeries,47,15.7176182336149,4.99043258677874
The Wedding Coach,2021,Unknown,4.9,42/100,0,0,0,1,TRUE,52,100000,,TRUE,TRUE,2021-04-07,1,tt14210424,tvSeries,42,11.5129354649202,3.97029191355212
This is a Robbery: The World's Biggest Art Heist,2021,18+,6.4,58/100,0,0,0,1,TRUE,3078,3500000,300000,TRUE,TRUE,2021-04-07,2,tt14223858,tvMiniSeries,58,15.0682738121739,8.0323601479245
Sexify,2021,Unknown,6.5,58/100,0,0,0,1,TRUE,3621,51200000,1100000,TRUE,TRUE,2021-04-28,4,tt14315542,tvSeries,58,17.751250109541,8.19478163844336
Pet Stars,2021,Unknown,5.8,41/100,0,0,0,1,TRUE,79,4200000,800000,TRUE,TRUE,2021-04-30,2,tt14318392,tvSeries,41,15.2505953213488,4.38202663467388
Headspace Guide to Sleep,2021,Unknown,6.8,47/100,0,0,0,1,TRUE,213,5800000,1200000,TRUE,TRUE,2021-04-28,2,tt14318406,tvSeries,47,15.5733686479304,5.36597601502185
The Rational Life,2021,Unknown,8.2,53/100,0,0,0,1,TRUE,16,15500000,300000,TRUE,TRUE,2021-06-18,2,tt14376958,tvSeries,53,16.5563506464056,2.83321334405622
Community,2009,7+,8.5,90/100,1,1,0,3,FALSE,227412,164000000,10400000,TRUE,TRUE,,12,tt1439629,tvSeries,90,18.915376991886,12.3345230266505
Racket Boys,2021,16+,1.1,42/100,0,0,0,1,TRUE,624,9300000,200000,TRUE,TRUE,2021-05-31,2,tt14482414,tvSeries,42,16.0455250656504,6.4377516497364
"Money, Explained",2021,Unknown,6.9,57/100,0,0,0,1,TRUE,1133,3300000,700000,TRUE,TRUE,2021-05-11,2,tt14492910,tvMiniSeries,57,15.009433329467,7.0335064842877
Lava Ka Dhaava,2021,Unknown,6.1,41/100,0,0,0,1,TRUE,38,100000,,FALSE,FALSE,2021-05-05,1,tt14492912,tvSeries,41,11.5129354649202,3.66356164612965
High on the Hog: How African American Cuisine Transformed America,2021,Unknown,7.7,59/100,0,0,0,1,TRUE,327,4000000,1000000,TRUE,TRUE,2021-05-26,3,tt14540468,tvSeries,59,15.2018051690841,5.79301360838414
The Prince Who Turns into a Frog,2005,Unknown,7,43/100,0,0,0,1,TRUE,103,400000,,TRUE,TRUE,,1,tt1454440,tvSeries,43,12.899222326087,4.64439089914137
Human: The World Within,2021,Unknown,6.8,54/100,0,0,0,1,TRUE,187,15100000,1200000,TRUE,TRUE,2021-06-04,2,tt14574154,tvSeries,54,16.5302053680103,5.23644196282995
Mad for Each Other,2021,Unknown,7.9,58/100,0,0,0,1,TRUE,109,12100000,800000,TRUE,TRUE,2021-05-24,2,tt14596414,tvSeries,58,16.3087160932116,4.70048036579242
