title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
The Big Show Show,2020,all,6.4,52/100,0,0,0,1,TRUE,2068,18400000,2600000,TRUE,TRUE,2020-04-06,1,tt10726356,tvSeries
Happy Jail,2019,18+,8,34/100,0,0,0,1,TRUE,222,400000,100000,TRUE,TRUE,2019-08-14,1,tt10753590,tvSeries
Tiny Pretty Things,2020,"",5.9,55/100,0,0,0,1,TRUE,7809,22000000,1200000,TRUE,TRUE,2020-12-14,1,tt10767748,tvSeries
Alice in Borderland,2020,"",7.7,67/100,0,0,0,1,TRUE,21278,310700000,8200000,TRUE,TRUE,2020-12-10,2,tt10795658,tvSeries
"The Mind, Explained",2019,16+,8,62/100,0,0,0,1,TRUE,4313,6500000,1400000,TRUE,TRUE,2019-09-12,2,tt10810430,tvSeries
Ginny & Georgia,2021,16+,7.5,75/100,0,0,0,1,TRUE,33052,1098100000,13900000,TRUE,TRUE,2021-02-24,2,tt10813940,tvSeries
When the Camellia Blooms,2019,"",8,55/100,0,0,0,1,TRUE,1689,15900000,400000,TRUE,TRUE,2019-09-18,1,tt10826064,tvSeries
The Club,2019,18+,6.3,50/100,0,0,0,1,TRUE,728,47800000,4700000,TRUE,TRUE,2019-11-15,2,tt10833132,tvSeries
Get Organized with The Home Edit,2020,"",4.8,43/100,0,0,0,1,TRUE,166,15100000,1000000,TRUE,TRUE,2020-09-09,2,tt10834478,tvSeries
Inside Bill's Brain: Decoding Bill Gates,2019,16+,7.9,65/100,0,0,0,1,TRUE,9749,2500000,500000,TRUE,TRUE,2019-09-20,1,tt10837476,tvMiniSeries
My Country: The New Age,2019,"",8.3,51/100,0,0,0,1,TRUE,1356,17300000,400000,TRUE,TRUE,2019-10-04,1,tt10850888,tvSeries
Crash Landing on You,2019,16+,8.7,71/100,0,0,0,1,TRUE,15494,231600000,5000000,TRUE,TRUE,2019-12-14,1,tt10850932,tvMiniSeries
